geo_id,X1,X2,X3,X4,X5,X6,X7,X8,X9
59_350_0001,0,0,0.13104564585948542,0.0016051505567374546,0,0.4313931556583801,0.02430753232741835,0,0.41136180662884225
59_350_0002,0,0,0.36888347763997026,0.020268424958125673,0,0.25583065598304017,0.12770154397552846,0,0.22667607449274801
59_350_0003,0,0,0.2990583480066811,0.03384849615149388,0,0.1310470864766995,0.16455551472586608,0,0.37088056917469003
59_350_0004,0,0,0.3194756074604101,0.07741483869772914,0,0.2992765582394374,0.11214045244196866,0,0.19111445463654103
59_350_0005,0,0,0.16079319941618736,0,0,0.31847152299986337,0.07572638163759432,0,0.444622887723212
59_350_0006,0,0,0.5271950599989843,0.022044335103429156,0,0.19780006169706968,0.10229652052323819,0,0.1499880632951338
59_350_0007,0,0,0.32883350134363837,0.15277195971856836,0,0.21773647076984842,0.06406993055611733,0,0.23616004701646812
59_350_0008,0,0,0.29968843692746694,0.024009826164275834,0,0.134425254601158,0.20790111728915067,0,0.3333008497489146
59_350_0009,0,0.14409726039757356,0.25217327583590293,0,0,0.16604406608767455,0.17428867263150594,0,0.26273059315578784
59_350_0010,0,0.2426143204500461,0.2609009454814542,0.06946946633610648,0,0.08981901723185289,0.2545624452736337,0,0.0818121393637601
59_350_0011,0,0,0.11761715093442394,0.19859378357100374,0,0.3141552798323938,0.06013853945735623,0,0.3092113843422197
59_350_0012,0,0.062424539613439245,0.3670232219731634,0,0,0.20349668790561967,0.006140431852744956,0,0.36041098370244856
59_350_0013,0,0,0.19547033967842958,0,0,0.09310556991924011,0.19850396412254576,0,0.5123903522859455
59_350_0014,0,0.24916584544595452,0.21132483241017222,0.03597976784654435,0.04595924688438899,0.12335020069344371,0.09306312218432322,0,0.24057815479300051
59_350_0015,0,0,0,0.034641336151012746,0,0.296115566113686,0.13861049605838008,0,0.5303261875369168
59_350_0016,0,0,0.40906480535163486,0.07546351411631551,0,0.16541169504845135,0.141766085329094,0,0.2076302686277899
59_350_0017,0,0.1179854701865289,0.3230153922319167,0.06915818308317097,0,0.08779919087426505,0.21338212791489003,0,0.18791704511915083
59_350_0018,0,0,0.4177604765923978,0,0,0.1648941699734435,0.18475613991682402,0,0.23190311545820874
59_350_0101,0,0.3463132512218939,0.5822774096181509,0,0,0,0,0,0.07092711430372708
59_350_0102,0,0.1652467941554761,0.5972690862570138,0,0,0,0,0,0.23709339584976952
59_350_0104,0,0.515691825878674,0.36072904000794676,0,0,0,0,0,0.123071518253
59_350_0105,0,0.29169414485566636,0.6735307212158071,0,0,0,0,0,0.03424020037134141
59_350_0106,0,0.3442995307208279,0.3828690818362082,0,0,0,0,0,0.27236527727535204
59_350_0107,0,0.24358075107926466,0.31729592877349505,0,0,0,0,0.045515384628424554,0.3931648850377069
59_350_0108,0,0.35194403050066336,0.3498757763995509,0,0,0,0,0,0.29775866391965794
59_350_0109,0,0.12740690210165373,0.6453498751539515,0,0,0,0,0,0.22673911030014843
59_350_0110,0,0.08074066962640322,0.6759748541245084,0,0,0,0,0,0.24279254967481018
59_350_0111,0,0,0.6299335785774329,0,0,0,0,0,0.36978525432644765
59_350_0113,0,0,0.5533898879912127,0,0,0,0,0,0.44652115909782714
59_350_0201,0,0.1323449307321307,0.5777209685103702,0,0,0,0,0,0.2894122258627507
59_350_0203,0,0,0.37915898912470286,0,0,0.0012088202459511743,0,0,0.6192902045021064
59_350_0204,0,0,0.3241996591582655,0.0979383174017151,0,0,0,0,0.5776587698451628
59_350_0206,0,0,0.2627757706868314,0.04643706674614606,0,0,0.09533847363063398,0,0.5951826104140461
59_350_0207,0,0,0.31653306955467636,0,0,0.029360136278468354,0,0,0.6538451183393812
59_350_0208,0,0,0.24160969668744997,0.013192249062816543,0,0,0,0,0.7450312949052639
59_350_0209,0,0,0.3751638983376441,0.043974196361365805,0,0,0,0,0.5806552518348719
59_350_0251,0,0,0.20455617463814682,0,0,0.14510566819869397,0.11383705875426108,0,0.5361202751425266
59_350_0252,0,0,0.4384382015270287,0.054450907335572896,0,0.22234738699951404,0,0,0.28431224274589967
59_350_0253,0,0,0.5697108249688188,0.1227600000466857,0,0,0,0,0.30706314387086336
59_350_0254,0,0,0.47118301645126204,0.11389493088750136,0,0,0.055394796009147096,0,0.35914536236162553
59_350_0255,0,0,0.36356861156712444,0.11464840041827527,0,0.07192827557540366,0.0480729406604936,0,0.4013285433658573
59_350_0256,0,0,0.3179287977857533,0.10754548494697579,0,0.07844005343338573,0,0,0.495785308057289
59_350_0257,0,0,0.440756444807154,0.08340237817021516,0,0,0.08037597931325234,0,0.3950413384044425
59_350_0258,0,0,0.36618245176645525,0.07895008887815053,0,0,0.24105106333593487,0,0.3131704425802883
59_350_0259,0,0,0.296209041498227,0.10970893448359645,0,0.06326148256653165,0.028747504226299785,0,0.5018090423798303
59_350_0260,0,0,0.4826304503464128,0.13901860636250304,0,0,0,0,0.37808283669771153
59_350_0261,0,0,0.2979559027346888,0,0,0.1886905963869455,0,0,0.51307108166992
59_350_0262,0,0,0.1240205571590937,0.08693618507963115,0,0.2657734120989598,0,0,0.5230698031749655
59_350_0263,0,0,0.15557147795588855,0.04562303701668856,0,0.21588046319601822,0.046247074160143224,0,0.5364423202961959
59_350_0301,0,0.27883978064210174,0.6308609954015525,0,0,0,0,0,0.08982294654810569
59_350_0302,0,0.16051300291270362,0.4949096379234769,0.002595467843579839,0,0,0,0,0.34153311127315067
59_350_0303,0,0.22175177731451498,0.40921498304366344,0,0,0,0,0,0.3685915807039165
59_350_0304,0,0.37984613644198684,0.5409627897729911,0,0,0,0,0,0.07862180751222436
59_350_0305,0,0.20798737914336385,0.3186209061336343,0,0,0,0.04063858123319171,0,0.4323023549320914
59_350_0401,0,0,0.5912828150325493,0.004332248847346409,0,0,0,0,0.4040709649816306
59_350_0402,0,0,0.2779786111467963,0.06746406646724505,0,0,0,0,0.6544766165209933
59_350_0403,0,0,0.3813038952074263,0,0,0,0,0,0.6185111003829366
59_350_0405,0,0,0.42719534578799456,0,0,0,0,0,0.5725351175086371
59_350_0406,0,0,0.4443669944476002,0,0,0.02931435603154825,0,0,0.5259260454452445
59_350_0407,0,0.18945418290804014,0.7398699152154716,0,0,0,0.042074146036873,0,0.02777635852727284
59_350_0408,0,0.05593334602380431,0.5587495217588901,0,0,0,0.10934913942771206,0.039285671397251,0.2359562763020297
59_350_0409,0,0.5429795174585345,0.45648107140102284,0,0,0,0,0,0
59_350_0410,0,0.5822377782316904,0.29719944781469626,0,0.005828925219338721,0,0.016157480810135256,0,0.09801069482600011
59_350_0411,0,0.2011118544440553,0.6170796156791102,0,0,0,0,0,0.18123226631928463
59_350_0412,0,0.10910030518099557,0.8903349020458032,0,0,0,0,0,0
59_350_0413,0,0,0.5309939319343373,0,0,0.01831442882566385,0,0,0.45023834802436635
59_350_0414,0,0,0.2982134061906355,0.022573627547036648,0,0.014295601266745098,0,0,0.6646665262458047
59_350_0415,0,0.1972711051777477,0.4959652691252781,0,0,0,0,0,0.3062871149596729
59_350_0416,0,0.5779377729199818,0.3464625751530314,0.04103447146403789,0,0,0,0,0.03405268825181339
59_350_0417,0,0.17332181550011552,0.7486326257380671,0,0,0,0,0,0.07732912529158312
59_350_0419,0,0.02134428566031085,0.6857202102518412,0.018452706058192575,0,0,0,0,0.2738738354145908
59_350_0420,0,0.02129395185818781,0.590600869403104,0,0,0,0.09075014557998297,0,0.29670381485900266
59_350_0501,0,0.6586891289489447,0.2756548922879188,0,0,0,0,0,0.0653059908594477
59_350_0502,0,0.3781072585465672,0.5111143722948449,0,0,0,0,0,0.11019457931463564
59_350_0503,0,0.24321999404317574,0.5702905933877814,0,0,0,0,0,0.18595743314126764
59_350_0504,0,0.21424848332544963,0.5025710328652953,0.0012024088377363253,0,0,0,0,0.2816259339842153
59_350_0601,0,0,0.402901951615674,0,0,0,0,0,0.597242272272393
59_350_0604,0,0,0.41648567389374896,0,0,0,0,0,0.5834934346773901
59_350_0605,0,0,0.6317295402947621,0,0,0,0,0,0.3681282134543488
59_350_0607,0,0,0.2357772879534174,0,0,0,0,0,0.7644687150581864
59_350_0608,0,0,0,0,0,0,0,0,1.000443138748739
59_350_0609,0,0,0.09567713610045628,0,0,0.22098099911088948,0,0,0.6832055563663407
59_350_0610,0,0,0.004060318546410275,0,0,0,0,0,0.9961560764774585
59_350_0611,0,0,0.18202641388769467,0,0,0,0,0,0.817913902534672
59_350_0612,0,0,0.5707099339000903,0.03499709749598379,0,0,0,0,0.39395678418532853
59_350_0613,0,0,0.3009982698235829,0.050206073568991275,0,0,0,0,0.6486749921568115
59_350_0614,0,0,0.32175981075202664,0.010449879662654373,0,0,0,0,0.6676377367862928
59_350_0615,0,0,0.03981302137135627,0,0,0,0,0,0.9603021599991086
59_350_0616,0,0,0.31279863727592,0,0,0,0,0,0.6872043242181415
59_350_0618,0,0,0.40323587750705225,0,0,0,0,0,0.5965788394923521
59_350_0619,0,0,0.31387069747804436,0,0,0,0,0,0.6861094453356399
59_350_0620,0,0.04104380395213523,0.7781829758948532,0,0,0,0,0,0.18021002674377443
59_350_0621,0,0.2141260566336946,0.7838124981667378,0,0,0,0,0,0.0014788722229455578
59_350_0622,0,0,0.8276842976218504,0,0,0,0,0,0.17195789672080783
59_350_0623,0,0,0.8077442456937344,0,0,0,0,0,0.19189335165163549
59_350_0624,0,0.014353016365310963,0.7502118296878584,0,0,0,0,0,0.23497561861451183
59_350_0625,0,0,0,0,0,0.04383083323274295,0,0,0.9564650592302836
59_350_0626,0,0,0,0,0,0,0,0,1.0006355939724603
59_350_0701,0,0.23718442679043614,0.5033344299841357,0,0,0,0,0,0.25902983159310444
59_350_0702,0,0.2231307459355077,0.7028541030546902,0.01501927771609371,0,0,0,0,0.05845240557484783
59_350_0703,0,0.12400971149731112,0.5365771908074379,0.004649080822188431,0,0,0.02150510201036692,0,0.3126685534049822
59_350_0704,0,0.18660939576027022,0.7288246761707563,0,0,0,0,0,0.08398677458043058
59_350_0801,0,0.4631447204174852,0.2511563854826655,0,0,0,0,0,0.2853518125654909
59_350_0802,0,0.08714795670085014,0.23318969095451295,0,0.05527654662712607,0.058987230652645224,0.013561582509324667,0,0.5514270411816301
59_350_0803,0,0,0.6036934903881871,0,0,0,0,0,0.3960235402018514
59_350_0804,0,0.11416718770180104,0.7150185094693934,0,0,0,0,0,0.17009614568557574
59_350_0805,0,0,0.5550059033429251,0,0,0,0,0,0.44472950991585664
59_350_0806,0,0.13324693674591057,0.6476336555576482,0,0,0,0,0,0.21856733388757021
59_350_0807,0,0,0.25999762355089284,0,0,0,0,0,0.7402045987436118
59_350_0808,0,0,0.10148257206254586,0,0,0.04672256574356259,0,0,0.8517800057458551
59_350_0809,0,0.11325074859670298,0.5982718434317037,0,0,0,0,0,0.28805197337405986
59_350_0810,0,0,0.32656068785968867,0,0,0,0,0,0.673452436630211
59_350_0811,0,0,0.5230235415994055,0,0,0,0,0,0.47677336424221956
59_350_0812,0,0,0,0,0,0,0,0,1.000645573317813
59_350_0813,0,0,0.06182276346174538,0,0,0.10347052828164732,0,0,0.8346615961066418
59_350_0814,0,0,0.18625612712189993,0,0,0.17956475811836037,0.03443720987631741,0,0.5994663218404724
59_350_0816,0,0,0.16471923479795753,0,0,0.11961527160489824,0.09425165016761931,0,0.6210475100817789
59_350_0817,0,0,0,0,0,0.05822101065480762,0,0,0.9419786505687612
59_350_0818,0,0,0.19125967628539847,0,0,0.1613619927888283,0.02824352026378482,0,0.6188830937109152
59_350_0819,0,0.30058774859620924,0.4312945592527255,0,0,0,0,0,0.26760932960258965
59_350_0820,0,0.1250728147591651,0.6105173578234278,0,0,0,0,0,0.26386507151617283
59_350_0821,0,0.30033822831345647,0.49798345392360444,0,0,0,0,0,0.2011855023000821
59_350_0822,0,0.4956924057863586,0.41503943804150567,0,0,0,0,0,0.08872884150521523
59_350_0823,0,0,0,0.03010503138121996,0,0.17643392865712057,0.025560786387824403,0,0.7678635506395579
59_350_0824,0,0.2222490798015385,0.5133161725369088,0,0,0,0,0,0.2639022613008972
59_350_0826,0,0.3621002315684801,0.3839612084949981,0,0,0,0,0,0.2535457970502777
